Time,Open,High,Low,Close,Volume,Date,Day,Month,Quarter,Year,Tomorrow,Target,Moving Average,MACD,Signal Line,RSI,Day_enc,Month_enc,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
2012-03-12 00:00,1.31216,1.31724,1.30788,1.31696,209113,2012-03-12,Monday,March,1,2012,1.30788,0,1.326553,-0.000678821312636968,0.0019373593007117628,35.29724555992756,1,7,1.0017837922129293,0.0,1.0003722074942838,2.0,1.0070267162030446,30.0,0.9533089134064899,129.0,0.9544970133555364,511.0
2012-03-13 00:00,1.31696,1.31902,1.30518,1.30788,227478,2012-03-13,Tuesday,March,1,2012,1.30204,0,1.325831,-0.0016165314521674468,0.001226581150135921,37.197604790419064,3,7,0.9965407415309123,0.0,0.9940881292858782,2.0,1.0000930345183552,29.0,0.9470217271640744,128.0,0.9480802675774387,511.0
2012-03-14 00:00,1.30791,1.309,1.30108,1.30204,219618,2012-03-14,Wednesday,March,1,2012,1.30765,1,1.324896,-0.002798651573427069,0.0004215346054233231,37.25449038951691,4,7,0.9977623835213342,0.0,0.9914609055064749,1.0,0.9956466648773108,29.0,0.9430952914190817,127.0,0.9440140793271844,511.0
2012-03-15 00:00,1.30202,1.31176,1.30035,1.30765,216587,2012-03-15,Thursday,March,1,2012,1.31732,1,1.3240375,-0.0032453992288477007,-0.00031185216143088173,36.12832331125414,2,7,1.0021496806134063,1.0,0.9986940184517626,1.0,0.9999079858823324,29.0,0.9474550342687961,127.0,0.9482450924917313,512.0
2012-03-16 00:00,1.30766,1.31869,1.30486,1.31732,187652,2012-03-16,Friday,March,1,2012,1.3176,1,1.3236285,-0.002787034580201908,-0.0008068886451850871,41.953408848044496,0,7,1.0036838516249709,2.0,1.005303845478758,2.0,1.007141166967831,30.0,0.9547546931572416,127.0,0.9554237023654847,512.0
2012-03-19 00:00,1.31759,1.32628,1.31417,1.32292,174663,2012-03-19,Monday,March,1,2012,1.3238,1,1.3215545,-0.0015986363388156288,-0.0012159471555316843,44.50467227561442,1,7,1.0021210193012755,2.0,1.0086599032298893,3.0,1.0111879463388276,31.0,0.9590847258398908,127.0,0.9596451486246181,512.0
2012-03-20 00:00,1.32291,1.32516,1.3172,1.3238,192612,2012-03-20,Tuesday,March,1,2012,1.32173,0,1.3204075000000002,-0.0009028814254834483,-0.0011533340095220372,38.59991514637253,3,7,1.0003324870027808,2.0,1.006886501270968,4.0,1.0116413648064504,31.0,0.9599992574110594,127.0,0.9604513514812207,512.0
2012-03-21 00:00,1.3238,1.32844,1.31788,1.32173,201137,2012-03-21,Wednesday,March,1,2012,1.32044,0,1.3194575,-0.0005126132577675246,-0.0010251898591711348,42.52498470324294,4,7,0.9992175480905529,1.0,1.0023098786365803,4.0,1.009682685815682,31.0,0.9588058980146169,126.0,0.959127753301599,511.0
2012-03-22 00:00,1.32181,1.32544,1.3135,1.32044,223258,2012-03-22,Thursday,March,1,2012,1.32684,1,1.318089,-0.0003039118356793491,-0.0008809342544727776,48.507173322993395,2,7,0.9995117649507791,0.0,0.9993929953785907,3.0,1.0083731998040437,30.0,0.9581739968627065,126.0,0.9583672935321945,511.0
2012-03-23 00:00,1.32044,1.32919,1.31907,1.32684,197477,2012-03-23,Friday,March,1,2012,1.32823,1,1.3178120000000002,0.0003736053677878548,-0.0006300263300206511,50.94925020314695,0,7,1.0024175757758906,1.0,1.002791830984638,3.0,1.0128602451997522,30.0,0.9631568897817042,126.0,0.9631864021576757,511.0
2012-03-26 00:00,1.32832,1.33674,1.3192,1.33566,211798,2012-03-26,Monday,March,1,2012,1.33288,0,1.3183735,0.0020916557534309543,0.0001768821825844685,55.82452855423308,1,7,1.003312676056338,2.0,1.0075175719283636,3.0,1.0190483129732466,31.0,0.9698596610180519,127.0,0.9697594014190117,511.0
